name,proc_name
%agranulocytes,Agranulocytes
%baso,Basofila
%basofila,Basofila
%eos,Eos
%lym,Lymfocyter
%mono,Mono
%neu,Neu
%retic,Retic
1-2juverdelar>10kghd,Juver
1771kerotuggrulleälg16cmø35mm,Kerotu
3juverdelar<10kghd,Juver
3juverdelar>10kghd,Juver
a/dhund/katt156g,A/D
a/dhund/katt156grburk,A/D
aaaa,Aaaa
abdominocentes/bukpunktat,Abdominal
acth,Acth
acth-stimulering-2prov,Acth
acth-stimulering2providexx,Acth
acth-stimulering2provinhouse,Acth
acth-stimulering2provuds,Acth
"acthiedta-plasma(häst,hund)",Acth
acthlaboklin,Acth
acthstimulationtest-2cortisoltestsclia,Acth
acthstimulationtest-3cortisoltestsclia,Acth
acthstimulering,Acth
acthstimuleringstest(2kortisolprov)clia,Acth
activon25g,Activon
activonmanukahonung,Activon
adaptilcalmdoftavgivare(48ml),Adaptil
adaptilchew,Adaptil
addex®-kaliumklorid2mmol/ml10x20mlkonceninjek,Addex
adrenalin1mg/ml,Adrenalin
adrenalin1mg/ml10x1mlinjektampull,Adrenalin
adrenalingiva,Adrenalin
adultsmalldog2kg,Adult
advocatespot-on40mg/4mg,Advocate
advocatespot-on80mg/8mg,Advocate
aerokatinhalator,Aerokat
akutavgdag,Avgift
akutavgift,Avgift
"akutavgift""walk-in""",Avgift
akutavgift8-17vardagar,Avgift
akutavgiftdag,Avgift
akutavgiftdagtid,Avgift
akutavgiftkl8-15,Avgift
akutavgiftsmådjur,Avgift
akutavgifttillägg,Avgift
akutavgiftvard.08-18,Avgift
akutavgiftvardag9-18,Avgift
"akutbesöktillägg,pol-polschemaändringarkostnad8-15.50",Avgift
"akutbesöktillägg,polschemaomplacerings-ombokningskostnad",Avgift
"akutbesöktillägg,polschemaomplacerings-ombokningskostnad8-16",Avgift
akutövrigtid,Avgift
akutsjukvård-sköterska,Avgift
akuttillägg,Avgift
"akuttillägg,operation-operationsschemaändringarkostnader",Avgift
"akuttillägg,operationschemaomplacerings-ombokningskostnad",Avgift
"akuttillägg,röntgenschemaomplacerings-ombokningskostnad",Avgift
akuttilläggct/dt,Avgift
akuttilläggefter15.50,Avgift
alat,Alat
alatsingel-catalyst,Alat
alb,Alb
alb/glob,Alb
albumin,Albumin
albumin/globulinkvot,Albumin
alfaxan10mlinjekt,Alfaxan
alfaxanmultidos,Alfaxan
alfaxannarkos,Alfaxan
alfaxannarkosinklpremed,Alfaxan
alfaxanper0.1ml,Alfaxan
älgchips,Älgchips
alizin10ml(obsminstaantal1flaska),Alizin
alizin30mg/ml/1flaska,Alizin
alizinvet.30mg/ml10ml,Alizin
alizinvet.30mg/ml10x10ml,Alizin
alkp,Alkp
alledermoat\moist,Allerderm
allerceptscreening,Allercept
allerdermcalm/allermylld,Allerderm
allerdermmoist200ml,Allerderm
allerdermoat/epi-sootheld,Allerderm
allerdermscrub.shampold,Allerderm
allerdermspot-on2mlld,Allerderm
allerdermspot-on4mlld,Allerderm
allerdermspot-on6x2ml,Allerderm
allergenmanagementplusxs2kg,Allergy
allergi-hund/katt-pruritusprofilemedium,Allergy
allergitestscreen.drbaddaky,Allergy
allergivacc.immuceptheska,Allergy
allergone,Allergy
allermylrosa,Allermyl
allevyn10x10cm,Allevyn
allevyn10x20cm,Allevyn
allfatalhund,Allfatal
allfatalkatt,Allfatal
allfatalvet.100mg/ml500ml,Allfatal
allfatalvet.avlivv100mg/ml,Allfatal
alllergi-hund-pruritusprofilelarge,Alllergi
allmänbakt+anaerobodling,Allmänbakt
alp,Alp
alp(alkalisktfosfatas),Alp
alt,Alt
"amh,anti-müllerianhormon",Amh
amoxival200mg,Amoxival
amoxival400mg,Amoxival
amoxival400mgtabl,Amoxival
amputationavkloben,Amputation
amputationsvans,Amputation
amputationsvanshund,Amputation
amputationsvanskatt,Amputation
amputationtå,Amputation
amputationtåhund,Amputation
amputeringsvans,Amputation
amyl,Amyl
amylas,Amyl
ana-test,Ana-Test
anaantikroppar(sle),Anaanti
analadenom,Analadenom
anallergeniccat2kg,Anallergenic
anallergenicdog3kg,Anallergenic
anallergenicdog8kg,Anallergenic
anallergenicfeline4kg,Anallergenic
anallergenichund8kg,Anallergenic
anallergenickatt2kg,Anallergenic
"analsäckarbeh,tömn,spoln",Analsäckar
analsäckarextirpationpkt,Analsäckar
analsäckarop10-30kginklnarkos,Analsäckar
analsäckarspolning,Analsäckar
analsäckarspolning.pktinklbesök,Analsäckar
analsäckarspolninginkl.mat,Analsäckar
analsäckartömning,Analsäckar
"analsäckartömning,spolning",Analsäckar
analsäckartömninginklpol,Analsäckar
analsäckartömningsederatdjur,Analsäckar
analsäcks-spolning,Analsäcks
analsäcksbehandlingexklsedering,Analsäcks
analsäcksextirpation,Analsäcks
analsäcksextrirp2st,Analsäcks
analsäcksextrirpation,Analsäcks
analsäcksspolning,Analsäcks
analsäckstomning,Analsäcks
analsäckstömning,Analsäcks
analsäckstömningendast,Analsäcks
analsäckstömningvidpol,Analsäcks
analyseurolyserellervetscan,Arbete-Analys
anaplasmapcr,Anaplasma
anaplasmaphagoc(-elisa),Anaplasma
"anaplasmaphagocytophilum,pcr",Anaplasma
anaplasmaserologi&pcr,Anaplasma
anastesiintravenösitererad,Anastesi
anastesilokalinfiltration,Anastesi
anatestslu,Ana-Test
andapsin,Andapsin
andapsin/sucralanpopåklinik,Andapsin
andapsin®1g60sttabletbliste,Andapsin
andapsin®200mg/ml300mloralsflaska,Andapsin
andapsin200mg/ml,Andapsin
andapsinsusp200mg/ml,Andapsin
andapsintabl,Andapsin
anemi-paketuds,Anemi-Paket
anestesi+ket.katt,Anestesi
anestesidissociativ,Anestesi
anestesihund<10kg,Anestesi
anestesihund>30kg,Anestesi
anestesihund10-30kg,Anestesi
anestesihunda30min,Anestesi
anestesihundenkel.,Anestesi
anestesihundtillägga30minpga.juvertumör.,Anestesi
"anestesiinhalation0,5timme",Anestesi
anestesiinhalation1timme,Anestesi
anestesiinhalationper30minuterefterentimme,Anestesi
anestesikanin/litengnagare,Anestesi
anestesikatt,Anestesi
anestesikatta30min,Anestesi
"anestesiled,häst",Anestesi
"anestesinervblockad,häst",Anestesi
"anestesiringblockad,häst",Anestesi
aniocyngel15g,Aniocyn
anläggningavdrän,Anläggning
